Player,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Christos Tapoutos,AEK Athens,13,329,40,98,0.408,8,23,0.348,32,75,0.427,0.449,18,22,0.818,6,32,38,20,3,2,24,28,106
Chuck Kornegay,Unicaja Malaga,14,333,37,67,0.552,0,0,,37,67,0.552,0.552,30,38,0.789,28,47,75,2,6,13,28,36,104
Clarence Gilbert,KK Krka,11,304,38,101,0.376,26,68,0.382,12,33,0.364,0.505,11,17,0.647,3,21,24,19,16,0,14,25,113
Cory Alexander,Lottomatica Roma,10,295,40,92,0.435,14,45,0.311,26,47,0.553,0.511,27,42,0.643,4,18,22,27,14,3,21,34,121
Cyril Julian,Elan Bearnais Pau-Orthez,18,374,61,119,0.513,0,0,,61,119,0.513,0.513,39,51,0.765,34,51,85,9,13,9,22,53,161
Dainius Salenga,BC Zalgiris,20,550,57,143,0.399,16,72,0.222,41,71,0.577,0.455,28,39,0.718,15,33,48,40,20,3,24,41,158
Dalibor Bagaric,Olympiacos,20,436,59,103,0.573,0,3,0,59,100,0.59,0.573,21,40,0.525,25,75,100,12,8,17,32,52,139
Damir Markota,Cibona Zagreb,1,2,1,2,0.5,0,1,0,1,1,1,0.5,0,0,,0,1,1,0,0,0,0,0,2
Danilo Smigic,KK Union Olimpija,2,6,0,1,0,0,0,,0,1,0,0,1,2,0.5,0,2,2,0,0,0,0,2,1
Darjus Lavrinovic,BC Zalgiris,2,35,8,14,0.571,1,3,0.333,7,11,0.636,0.607,6,6,1,1,4,5,2,0,3,1,6,23
Darrell Tucker,KK Union Olimpija,2,7,0,2,0,0,2,0,0,0,,0,1,2,0.5,0,1,1,1,2,0,1,2,1
Darren Phillip,Unicaja Malaga,11,167,22,29,0.759,1,3,0.333,21,26,0.808,0.776,19,30,0.633,19,15,34,12,6,3,8,16,64
Darryl Middleton,Panathinaikos,20,454,58,98,0.592,0,0,,58,98,0.592,0.592,32,38,0.842,25,22,47,13,22,1,30,66,148
David Andersen,Montepaschi Siena,21,426,83,165,0.503,0,3,0,83,162,0.512,0.503,25,39,0.641,33,64,97,15,13,6,28,54,191
David Bluthenthal,Maccabi Tel Aviv,17,173,39,64,0.609,12,26,0.462,27,38,0.711,0.703,15,19,0.789,6,17,23,6,3,1,7,38,105
David Frigout,Adecco ASVEL Villeurbanne,13,226,29,41,0.707,0,0,,29,41,0.707,0.707,10,21,0.476,18,32,50,3,3,3,17,30,68
David Vanterpool,Montepaschi Siena,22,625,94,215,0.437,25,69,0.362,69,146,0.473,0.495,90,120,0.75,35,58,93,75,53,1,57,79,303
Davide Bonora,Lottomatica Roma,14,249,12,31,0.387,4,17,0.235,8,14,0.571,0.452,8,9,0.889,3,9,12,17,8,0,3,25,36
Davor Kus,Cibona Zagreb,20,394,31,76,0.408,10,29,0.345,21,47,0.447,0.474,37,49,0.755,4,21,25,39,11,2,23,40,109
Dejan Bodiroga,FC Barcelona,17,549,87,160,0.544,5,16,0.313,82,144,0.569,0.559,73,93,0.785,14,62,76,40,17,1,42,35,252
Dejan Koturovic,TAU Ceramica,4,62,9,15,0.6,0,0,,9,15,0.6,0.6,4,6,0.667,3,6,9,0,1,4,9,10,22
Dejan Tomasevic,Pamesa Valencia,17,529,81,141,0.574,0,1,0,81,140,0.579,0.574,28,62,0.452,61,87,148,66,36,4,47,36,190
DeJuan Collins,Alba Berlin,14,470,78,167,0.467,14,47,0.298,64,120,0.533,0.509,63,81,0.778,16,43,59,35,18,3,41,47,233
Denis Marconato,Benetton Treviso,19,486,72,118,0.61,0,0,,72,118,0.61,0.61,54,69,0.783,47,103,150,14,15,24,20,51,198
Deon Thomas,Maccabi Tel Aviv,21,258,48,83,0.578,0,2,0,48,81,0.593,0.578,32,41,0.78,23,34,57,13,10,8,22,69,128
Derek Hood,Adecco ASVEL Villeurbanne,10,217,28,72,0.389,0,3,0,28,69,0.406,0.389,11,19,0.579,23,37,60,12,9,1,21,37,67
Derrick Phelps,Slask Wroclaw,1,24,2,3,0.667,1,1,1,1,2,0.5,0.833,5,6,0.833,2,1,3,3,1,0,0,4,10
Derrick Sharp,Maccabi Tel Aviv,21,357,36,77,0.468,28,61,0.459,8,16,0.5,0.649,22,24,0.917,3,15,18,19,18,0,15,64,122
Dimitrios Misiakos,AEK Athens,6,46,2,6,0.333,0,2,0,2,4,0.5,0.333,1,2,0.5,1,0,1,2,1,0,2,6,5
Dimitrios Papanikolaou,Panathinaikos,15,186,28,50,0.56,3,7,0.429,25,43,0.581,0.59,19,35,0.543,8,24,32,7,5,1,4,26,78
Dimos Dikoudis,Pamesa Valencia,17,377,71,138,0.514,8,23,0.348,63,115,0.548,0.543,43,75,0.573,38,47,85,14,12,4,16,45,193
Djuro Ostojic,Partizan,14,468,65,105,0.619,1,2,0.5,64,103,0.621,0.624,55,92,0.598,56,45,101,25,12,6,38,50,186
Dominik Tomczyk,Slask Wroclaw,14,374,53,102,0.52,26,51,0.51,27,51,0.529,0.647,31,39,0.795,18,48,66,12,17,5,19,42,163
Doremus Bennerman,Lottomatica Roma,11,216,23,48,0.479,12,28,0.429,11,20,0.55,0.604,13,14,0.929,2,7,9,11,4,0,15,18,71
Dragan Lukovski,Elan Bearnais Pau-Orthez,19,564,57,143,0.399,20,54,0.37,37,89,0.416,0.469,114,133,0.857,9,34,43,84,23,3,48,39,248
Dragan Tarlac,CSKA Moscow,19,304,33,59,0.559,0,0,,33,59,0.559,0.559,37,55,0.673,23,33,56,11,4,3,21,36,103
Dusan Jelic,TAU Ceramica,8,77,10,22,0.455,0,0,,10,22,0.455,0.455,6,10,0.6,4,15,19,4,2,1,2,15,26
Dusan Kecman,Partizan,13,374,50,100,0.5,18,44,0.409,32,56,0.571,0.59,43,57,0.754,16,42,58,22,21,1,29,50,161
Dusan Sakota,Panathinaikos,2,8,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,1,1,0,0,0,0
Dusan Vukcevic,Montepaschi Siena,22,317,39,95,0.411,18,49,0.367,21,46,0.457,0.505,22,24,0.917,2,29,31,24,12,4,18,36,118
Dzenan Rahimic,KK Union Olimpija,18,421,85,163,0.521,7,16,0.438,78,147,0.531,0.543,46,75,0.613,37,54,91,3,12,0,22,53,223
Ed Cota,BC Zalgiris,20,726,98,195,0.503,20,43,0.465,78,152,0.513,0.554,52,69,0.754,26,47,73,113,32,2,56,52,268
Efthimios Rentzias,Fenerbahçe,17,388,57,130,0.438,18,53,0.34,39,77,0.506,0.508,26,36,0.722,20,47,67,11,8,15,14,35,158
Egor Vyaltsev,CSKA Moscow,4,28,3,9,0.333,1,7,0.143,2,2,1,0.389,0,0,,0,2,2,4,1,0,5,4,7
Ender Arslan,Efes Pilsen,20,484,46,139,0.331,32,93,0.344,14,46,0.304,0.446,34,49,0.694,2,24,26,75,29,0,35,43,158
Erazem Lorbek,Skipper Fortitudo Bologna,22,235,31,54,0.574,2,5,0.4,29,49,0.592,0.593,13,24,0.542,20,30,50,9,12,8,11,35,77
Ermal Kuqo,Efes Pilsen,20,396,78,148,0.527,0,2,0,78,146,0.534,0.527,21,32,0.656,36,49,85,12,14,2,28,74,177
Fabien Dubos,Elan Bearnais Pau-Orthez,11,154,25,49,0.51,3,15,0.2,22,34,0.647,0.541,14,19,0.737,7,20,27,7,0,2,8,27,67
Fabricio Oberto,Pamesa Valencia,18,491,106,168,0.631,0,0,,106,168,0.631,0.631,28,67,0.418,31,70,101,43,14,11,36,61,240
Fatih Solak,Fenerbahçe,11,113,11,23,0.478,0,0,,11,23,0.478,0.478,6,14,0.429,14,9,23,2,0,6,9,22,28
Federico Kammerichs,Pamesa Valencia,15,198,22,63,0.349,4,21,0.19,18,42,0.429,0.381,19,27,0.704,21,28,49,12,4,5,10,16,67
Florent Pietrus,Elan Bearnais Pau-Orthez,19,551,69,132,0.523,9,18,0.5,60,114,0.526,0.557,48,66,0.727,43,65,108,24,22,17,40,62,195
Fragiskos Alvertis,Panathinaikos,16,381,65,137,0.474,30,70,0.429,35,67,0.522,0.584,19,23,0.826,11,20,31,18,5,1,19,39,179
Francesco Corradini,Benetton Treviso,1,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
Fred House,Partizan,13,459,67,187,0.358,13,63,0.206,54,124,0.435,0.393,54,82,0.659,27,52,79,17,44,5,34,51,201
Frederic Fauthoux,Elan Bearnais Pau-Orthez,20,368,32,67,0.478,26,52,0.5,6,15,0.4,0.672,29,33,0.879,4,22,26,48,9,0,22,47,119
Frederic Weis,Unicaja Malaga,6,62,7,10,0.7,0,0,,7,10,0.7,0.7,2,4,0.5,6,7,13,1,1,5,5,15,16
Gauthier Darrigand,Elan Bearnais Pau-Orthez,6,36,3,4,0.75,2,2,1,1,2,0.5,1,0,0,,0,1,1,1,1,0,7,8,8
George Tsintsadze,CSKA Moscow,1,10,0,2,0,0,2,0,0,0,,0,0,0,,0,0,0,2,0,0,1,1,0
Georgios Giannouzakos,Olympiacos,14,148,10,30,0.333,6,19,0.316,4,11,0.364,0.433,0,2,0,3,14,17,11,3,0,4,20,26
Georgios Kalaitzis,Panathinaikos,17,301,21,47,0.447,14,28,0.5,7,19,0.368,0.596,14,24,0.583,11,21,32,17,11,0,18,46,70
Gerald Brown,Partizan,14,455,63,135,0.467,13,33,0.394,50,102,0.49,0.515,38,46,0.826,10,40,50,32,15,1,25,39,177
German Gabriel,Unicaja Malaga,14,141,18,35,0.514,5,9,0.556,13,26,0.5,0.586,14,20,0.7,15,22,37,5,5,2,11,26,55
Giacomo Galanda,Montepaschi Siena,21,470,53,117,0.453,22,55,0.4,31,62,0.5,0.547,19,25,0.76,21,50,71,12,22,5,27,72,147
Gianluca Basile,Skipper Fortitudo Bologna,17,500,65,164,0.396,41,106,0.387,24,58,0.414,0.521,35,42,0.833,7,37,44,49,22,0,25,49,206
Gianmarco Pozzecco,Skipper Fortitudo Bologna,22,442,51,94,0.543,15,35,0.429,36,59,0.61,0.622,64,73,0.877,10,26,36,100,19,0,49,61,181
