,Player,Yrs,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,Birth Date,City,Country
491,Samuel Dalembert,13,2002,2015,886,21646,2810,5393,1,12,1193,1689,2289,6942,465,437,1546,1271,2601,6814,0.521,0.083,0.706,24.4,7.7,7.8,0.5,10-May-81,Port-Au-Prince,Haiti
492,Yvon Joseph,1,1986,1986,1,5,0,0,0,0,2,2,0,0,0,0,0,0,1,2,,,1,5,2,0,0,31-Oct-57,Cap-Haitian,Haiti
493,Skal Labissière,4,2017,2020,148,2595,429,872,30,85,181,242,224,662,152,53,99,151,314,1069,0.492,0.353,0.748,17.5,7.2,4.5,1,18-Mar-96,Port-au-Prince,Haiti
494,Olden Polynice,15,1988,2004,1058,24884,3557,7037,5,26,1146,2141,2730,7110,744,516,651,1170,2835,8265,0.505,0.192,0.535,23.5,7.8,6.7,0.7,21-Nov-64,Port-au-Prince,Haiti
496,Goga Bitadze,1,2020,2020,54,471,70,150,8,42,24,33,25,106,23,10,37,28,65,172,0.467,0.19,0.727,8.7,3.2,2,0.4,20-Jul-99,Sagarejo,Georgia
497,Zaza Pachulia,16,2004,2019,1098,22240,2608,5559,0,31,2198,2927,2362,6315,1433,768,378,1444,2738,7414,0.469,0,0.751,20.3,6.8,5.8,1.3,10-Feb-84,Tbilisi,Georgia
498,Tornike Shengelia,2,2013,2014,45,247,23,51,1,8,12,24,13,39,17,6,2,23,29,59,0.451,0.125,0.5,5.5,1.3,0.9,0.4,5-Oct-91,Tbilisi,Georgia
499,Vladimir Stepania,6,1999,2004,270,3726,455,1071,2,15,206,384,444,1180,94,110,144,213,482,1118,0.425,0.133,0.536,13.8,4.1,4.4,0.3,8-May-76,,Georgia
500,Jake Tsakalidis,7,2001,2007,315,5005,580,1184,0,1,337,513,436,1238,101,73,223,268,689,1497,0.49,0,0.657,15.9,4.8,3.9,0.3,10-Jun-79,Rustavi,Georgia
501,Nikoloz Tskitishvili,4,2003,2006,172,1946,190,626,43,183,84,115,109,307,114,46,50,126,227,507,0.304,0.235,0.73,11.3,2.9,1.8,0.7,14-Apr-83,Tbilisi,Georgia
503,Raja Bell,12,2001,2012,706,19813,2581,5949,956,2357,880,1101,408,1968,1208,484,130,695,1840,6998,0.434,0.406,0.799,28.1,9.9,2.8,1.7,19-Sep-76,St. Croix,Us Virgin Islands
504,Charles Claxton,1,1996,1996,3,7,1,2,0,0,0,2,2,2,0,0,1,1,4,2,0.5,,0,2.3,0.7,0.7,0,13-Dec-70,St. Thomas,Us Virgin Islands
505,Tim Duncan*,19,1998,2016,1392,47368,10285,20334,30,168,5896,8468,3859,15091,4225,1025,3020,3381,3304,26496,0.506,0.179,0.696,34,19,10.8,3,25-Apr-76,St. Croix,Us Virgin Islands
507,Torgeir Bryn,1,1990,1990,3,10,0,2,0,0,4,6,0,2,0,2,1,1,5,4,0,,0.667,3.3,1.3,0.7,0,8-Aug-64,Oslo,Norway
509,Primož Brezec,8,2002,2010,342,6192,1012,2034,1,6,427,609,563,1327,179,69,134,274,730,2452,0.498,0.167,0.701,18.1,7.2,3.9,0.5,2-Oct-79,Postojna,Slovenia
510,Vlatko Čančar,1,2020,2020,14,45,6,15,1,6,4,4,5,10,3,1,1,3,7,17,0.4,0.167,1,3.2,1.2,0.7,0.2,10-Apr-97,Koper,Slovenia
511,Luka Dončić,2,2019,2020,133,4365,1087,2441,339,1055,772,1047,164,1136,967,139,39,507,290,3285,0.445,0.321,0.737,32.8,24.7,8.5,7.3,28-Feb-99,Ljubljana,Slovenia
512,Goran Dragić,12,2009,2020,817,22899,4167,8988,991,2729,2049,2683,589,2502,3949,811,151,1849,1896,11374,0.464,0.363,0.764,28,13.9,3.1,4.8,6-May-86,Ljubljana,Slovenia
513,Zoran Dragić,1,2015,2015,16,75,11,30,3,14,3,5,5,8,5,2,0,5,6,28,0.367,0.214,0.6,4.7,1.8,0.5,0.3,22-Jun-89,Ljubljana,Slovenia
514,Marko Milič,2,1998,1999,44,216,47,84,3,7,11,17,13,30,14,13,1,27,24,108,0.56,0.429,0.647,4.9,2.5,0.7,0.3,7-May-77,Kranj,Slovenia
515,Boštjan Nachbar,6,2003,2008,317,5628,744,1834,325,867,439,560,126,836,283,135,84,280,698,2252,0.406,0.375,0.784,17.8,7.1,2.6,0.9,3-Jul-80,Slovenj Gradec,Slovenia
516,Rasho Nesterović,12,1999,2010,811,17983,2570,5121,1,13,378,646,1513,4143,836,330,934,748,2187,5519,0.502,0.077,0.585,22.2,6.8,5.1,1,30-May-76,Ljubljana,Slovenia
517,Uroš Slokar,1,2007,2007,20,72,14,26,1,2,9,13,7,14,1,1,2,9,11,38,0.538,0.5,0.692,3.6,1.9,0.7,0.1,14-May-83,Ljubljana,Slovenia
518,Beno Udrih,13,2005,2017,831,18185,2740,5922,465,1334,1007,1209,308,1712,2858,576,71,1179,1275,6952,0.463,0.349,0.833,21.9,8.4,2.1,3.4,5-Jul-82,Celje,Slovenia
519,Sasha Vujačić,10,2005,2017,581,8908,1075,2757,533,1451,411,479,205,1093,748,336,34,328,880,3094,0.39,0.367,0.858,15.3,5.3,1.9,1.3,8-Mar-84,Maribor,Slovenia
521,Lauri Markkanen,3,2018,2020,170,5194,967,2248,374,1050,436,514,213,1291,228,118,96,249,321,2744,0.43,0.356,0.848,30.6,16.1,7.6,1.3,22-May-97,Vantaa,Finland
522,Hanno Möttölä,2,2001,2002,155,2360,292,661,1,16,130,166,130,442,75,31,28,137,337,715,0.442,0.063,0.783,15.2,4.6,2.9,0.5,9-Sep-76,Helsinki,Finland
524,Cheick Diallo,4,2017,2020,180,2155,398,665,2,7,149,193,175,747,78,55,73,116,267,947,0.598,0.286,0.772,12,5.3,4.2,0.4,13-Sep-96,Kayes,Mali
525,Soumaila Samake,2,2001,2003,47,303,28,72,0,0,12,26,32,76,5,2,19,6,36,68,0.389,,0.462,6.4,1.4,1.6,0.1,18-Mar-78,Bougouni,Mali
527,Gustavo Ayón,3,2012,2014,135,2251,284,530,0,1,67,133,188,589,173,100,73,122,272,635,0.536,0,0.504,16.7,4.7,4.4,1.3,1-Apr-85,Tepic,Mexico
528,Jorge Gutiérrez,3,2014,2016,47,482,53,106,3,17,28,36,8,54,69,19,1,32,65,137,0.5,0.176,0.778,10.3,2.9,1.1,1.5,27-Dec-88,Chihuahua,Mexico
529,Horacio Llamas Grey,2,1997,1998,28,143,23,49,1,3,11,18,8,36,5,11,8,20,39,58,0.469,0.333,0.611,5.1,2.1,1.3,0.2,17-Jul-73,El Rosario,Mexico
530,Eduardo Nájera,12,2001,2012,619,11213,1204,2505,110,354,534,796,897,2307,493,446,231,402,1378,3052,0.481,0.311,0.671,18.1,4.9,3.7,0.8,11-Jul-76,Meoqui,Mexico
532,Kornél Dávid,3,1999,2001,109,1585,201,451,0,4,147,180,111,306,64,46,24,92,172,549,0.446,0,0.817,14.5,5,2.8,0.6,22-Oct-71,,Hungary
534,Georgi Glouchkov,1,1986,1986,49,772,84,209,1,1,70,122,31,163,32,26,25,76,124,239,0.402,1,0.574,15.8,4.9,3.3,0.7,10-Jan-60,Triavna,Bulgaria
536,Steve Nash*,18,1997,2014,1217,38069,6321,12892,1685,3939,3060,3384,643,3642,10335,899,102,3478,1982,17387,0.49,0.428,0.904,31.3,14.3,3,8.5,7-Feb-74,Johannesburg,South Africa
538,Predrag Drobnjak,4,2002,2005,278,5542,903,2125,66,194,315,394,313,973,225,132,117,242,512,2187,0.425,0.34,0.799,19.9,7.9,3.5,0.8,27-Oct-75,Bijelo Polje,Montenegro
539,Nikola Mirotić,5,2015,2019,319,7718,1303,3084,614,1712,690,854,301,1894,407,240,228,381,666,3910,0.423,0.359,0.808,24.2,12.3,5.9,1.3,11-Feb-91,Podgorica,Montenegro
540,Žarko Paspalj,1,1990,1990,28,181,27,79,0,1,18,22,15,30,10,3,7,21,37,72,0.342,0,0.818,6.5,2.6,1.1,0.4,27-Mar-66,Pljevlja,Montenegro
541,Sasha Pavlović,10,2004,2013,567,8888,1070,2651,308,890,339,504,188,1000,517,272,98,460,1026,2787,0.404,0.346,0.673,15.7,4.9,1.8,0.9,15-Nov-83,Bar,Montenegro
542,Nikola Peković,6,2011,2016,271,6744,1314,2537,0,0,777,1023,803,1807,199,140,151,414,632,3405,0.518,,0.76,24.9,12.6,6.7,0.7,3-Jan-86,Bijelo Polje,Montenegro
543,Aleksandar Radojević,2,2000,2005,15,152,8,26,0,0,10,16,11,36,7,2,3,20,37,26,0.308,,0.625,10.1,1.7,2.4,0.5,8-Aug-76,Herceg Novi,Montenegro
545,Ha Seung-Jin,2,2005,2006,46,316,28,54,0,0,14,28,20,67,3,4,13,26,62,70,0.519,,0.5,6.9,1.5,1.5,0.1,4-Aug-85,Seoul,Korea
547,Hamed Haddadi,5,2009,2013,151,1056,130,281,0,5,79,125,137,372,43,11,92,92,209,339,0.463,0,0.632,7,2.2,2.5,0.3,19-May-85,Ahvaz,Iran
549,OG Anunoby,3,2018,2020,210,4899,632,1316,229,627,147,226,182,745,210,194,81,179,437,1640,0.48,0.365,0.65,23.3,7.8,3.5,1,17-Jul-97,London,United Kingdom
550,Robert Archibald,2,2003,2004,44,328,15,53,0,0,21,49,27,69,16,14,6,17,59,51,0.283,,0.429,7.5,1.2,1.6,0.4,29-Mar-80,Paisley,United Kingdom
551,Kelenna Azubuike,5,2007,2012,208,5025,802,1748,210,514,364,473,257,829,230,130,103,203,408,2178,0.459,0.409,0.77,24.2,10.5,4,1.1,16-Dec-83,London,United Kingdom
552,Steve Bucknall,1,1990,1990,18,75,9,33,0,1,5,6,5,7,10,2,1,11,10,23,0.273,0,0.833,4.2,1.3,0.4,0.6,17-Mar-66,London,United Kingdom
553,James Donaldson,14,1981,1995,957,26222,3105,5442,0,0,1993,2722,2060,7492,765,336,1267,1454,2025,8203,0.571,,0.732,27.4,8.6,7.8,0.8,16-Aug-57,Heacham,United Kingdom
554,Ndudi Ebi,2,2004,2005,19,86,17,35,0,1,6,13,8,19,4,1,5,6,13,40,0.486,0,0.462,4.5,2.1,1,0.2,18-Jun-84,London,United Kingdom
555,Joel Freeland,3,2013,2015,151,1821,209,455,0,2,59,81,190,518,65,32,56,74,255,477,0.459,0,0.728,12.1,3.2,3.4,0.4,7-Feb-87,Farnham,United Kingdom
556,Ben Gordon,11,2005,2015,744,20366,3931,9092,1171,2921,2051,2394,333,1851,1868,508,114,1551,1720,11084,0.432,0.401,0.857,27.4,14.9,2.5,2.5,4-Apr-83,London,United Kingdom
557,Woody Grimshaw,1,1947,1947,21,,20,56,,,21,44,,,1,,,,25,61,0.357,,0.477,,2.9,,0,24-Sep-19,,United Kingdom
558,Chris Harris,1,1956,1956,41,420,37,149,,,27,45,,44,44,,,,43,101,0.248,,0.6,10.2,2.5,1.1,1.1,11-Aug-33,Southampton,United Kingdom
559,Pops Mensah-Bonsu,4,2007,2011,61,509,64,156,0,2,53,90,83,180,11,14,14,40,82,181,0.41,0,0.589,8.3,3,3,0.2,7-Sep-83,London,United Kingdom
560,Admiral Schofield,1,2020,2020,33,368,35,92,19,61,10,15,7,47,15,8,4,7,50,99,0.38,0.311,0.667,11.2,3,1.4,0.5,30-Mar-97,London,United Kingdom
562,Damien Inglis,1,2016,2016,20,156,13,37,3,13,7,8,2,31,10,6,3,11,11,36,0.351,0.231,0.875,7.8,1.8,1.6,0.5,20-May-95,Cayenne,French Guiana
563,Kevin Séraphin,7,2011,2017,423,6430,1134,2318,0,7,248,347,502,1462,246,88,304,449,903,2516,0.489,0,0.715,15.2,5.9,3.5,0.6,7-Dec-89,Cayenne,French Guiana
565,Furkan Aldemir,1,2015,2015,41,540,40,78,0,5,13,27,78,176,28,17,16,17,96,93,0.513,0,0.481,13.2,2.3,4.3,0.7,9-Aug-91,Konak,Turkey
566,Ömer Aşık,8,2011,2018,471,9216,947,1795,0,1,585,1062,1036,3362,280,167,339,542,928,2479,0.528,0,0.551,19.6,5.3,7.1,0.6,4-Jul-86,Bursa,Turkey
567,Semih Erden,2,2011,2012,69,928,101,185,0,0,60,101,57,190,29,25,29,50,164,262,0.546,,0.594,13.4,3.8,2.8,0.4,28-Jul-86,Istanbul,Turkey
568,Ersan İlyasova,12,2007,2020,808,18809,3102,6993,865,2368,1230,1585,1390,4632,904,550,290,783,1965,8299,0.444,0.365,0.776,23.3,10.3,5.7,1.1,15-May-87,Eskisehir,Turkey
569,Furkan Korkmaz,3,2018,2020,134,2318,348,836,195,517,115,150,36,286,135,72,19,86,172,1006,0.416,0.377,0.767,17.3,7.5,2.1,1,24-Jul-97,Istanbul,Turkey
570,Ibo Kutluay,1,2005,2005,5,12,0,1,0,0,0,0,0,1,0,0,0,2,1,0,0,,,2.4,0,0.2,0,1-Jul-74,Istanbul,Turkey
571,Mehmet Okur,10,2003,2012,634,18429,3028,6615,596,1590,1909,2396,1261,4436,1089,329,453,991,1815,8561,0.458,0.375,0.797,29.1,13.5,7,1.7,26-May-79,Yalova,Turkey
572,Hedo Türkoğlu,15,2001,2015,997,26695,3851,9034,1246,3246,2074,2645,647,3971,2832,750,299,1578,2403,11022,0.426,0.384,0.784,26.8,11.1,4,2.8,19-Mar-79,Istanbul,Turkey
